hotel name,hotel URL,hotel ID,travel safe expect,travel safe note
"Eaton Residences, Wan Chai Gap Road",https://www.tripadvisor.com//Hotel_Review-g294217-d4114544-Reviews-Eaton_Residences_Wan_Chai_Gap_Road-Hong_Kong.html,d4114544,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ,None
Travelodge Kowloon,https://www.tripadvisor.com//Hotel_Review-g294217-d558001-Reviews-Travelodge_Kowloon-Hong_Kong.html,d558001,None,None
One96 - Elegant Full Floor Suite Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d7830239-Reviews-One96_Elegant_Full_Floor_Suite_Hotel-Hong_Kong.html,d7830239,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   ,None
Bridal Tea House Hotel Yau Ma Tei,https://www.tripadvisor.com//Hotel_Review-g294217-d627799-Reviews-Bridal_Tea_House_Hotel_Yau_Ma_Tei-Hong_Kong.html,d627799,None,None
Two MacDonnell Road,https://www.tripadvisor.com//Hotel_Review-g294217-d558384-Reviews-Two_MacDonnell_Road-Hong_Kong.html,d558384,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ," 麥當勞道貳號非常重視每一位賓客與員工的身心健康。鑑於近日新型冠狀病毒疫情的持續發展，我們正密切留意及執行由世界衛生組織及本地衛生部門所發出的健康指引。

酒店已採取並加強多項相關衛生防範措施，以保障所有客人和員工的健康和安全。

“有關疫苗通行證之安排” 

根據香港特區政府新增的防疫規例，由2022年2月24日起，以下有關疫苗通行證之安排將會在酒店內實施：

- 客人到訪酒店或餐廳時，必須使用「安心出行」流動應用程式掃描場所二維碼
- 客人必須至少接種一劑新冠疫苗才能進入餐廳場所
- 客人到訪餐廳時，必須出示疫苗接種記錄，只在以下2種例外情況下容許相關客人無須符合疫苗接種要求：
i) 因年齡關係而未符合接種疫苗資格
ii) 獲醫生證明因健康原因而不適合接種疫苗

“cafe bar on 8” 提供堂食至晚上6時。外賣自取服務於每天中午12時至晚上9時供應。 

加強衛生措施：
- 所有賓客及訪客均須在進入酒店時量度體溫。
- 所有入住的賓客及訪客均須填寫健康申報表，並提供過去十四天內之外遊紀錄。
- 我們鼓勵賓客及訪客使用安裝在酒店公共範圍的酒精消毒搓手液清潔雙手。
- 加強清潔及消毒酒店的公共範圍如升降機、門柄、電話、洗手間及大堂等。
- 酒店的公共區域、高頻率接觸點及café bar on 8均已採用 CoviX101 納米技術進行消毒和塗層處理。CoviX101 技術可立即消滅細菌、病毒和病原體。

酒店團隊：
- 所有員工均須每天量度體溫。
- 所有員工均須於當值時戴上外科口罩。
- 禮賓部及房務部員工於進入客房或接觸賓客物件時，均須配戴手套。
- 酒店團隊正根據疫情最新發展，持續更新營運指引及加強應對措施。
- 酒店已配備好個人防護裝備，以減低員工於處理懷疑個案時感染病毒的可能性，從而保障員工的健康。
- 酒店定期清潔空氣過濾系統和空調系統，務求為賓客及員工提供一個安心舒適的環境。
- 酒店團隊時刻保持警剔，密切留意賓客有否出現不適情況或屬疑似個案。 "
"Holiday Inn Express Hong Kong Mongkok, an IHG Hotel",https://www.tripadvisor.com//Hotel_Review-g294217-d7675547-Reviews-Holiday_Inn_Express_Hong_Kong_Mongkok_an_IHG_Hotel-Hong_Kong.html,d7675547,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Floors marked for social distancing    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   ," A note from IHG® Hotels &amp; Resorts:
When you’re ready to travel again, we’ll be ready to welcome you. As the world adjusts to new travel norms and expectations, we’re enhancing the experience for you – our hotel guests – by redefining cleanliness and supporting wellbeing throughout your stay. We are expanding our commitment to cleanliness by:
• Using new science-led protocols and service measures by enhancing the IHG Way of Clean
• Partnering with industry leading experts Cleveland Clinic, Ecolab and Diversey
• Launching a global IHG Clean Promise
These strengthened procedures are designed to give you greater confidence and hotel teams the protection needed. For more information, please visit  https://www.ihg.com/content/us/en/customer-care/clean-promise.  "
Gloucester Luk Kwok Hong Kong,https://www.tripadvisor.com//Hotel_Review-g294217-d305852-Reviews-Gloucester_Luk_Kwok_Hong_Kong-Hong_Kong.html,d305852,   Floors marked for social distancing   ,None
Rambler Oasis Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d638917-Reviews-Rambler_Oasis_Hotel-Hong_Kong.html,d638917,None,None
Silka West Kowloon Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d1191442-Reviews-Silka_West_Kowloon_Hotel-Hong_Kong.html,d1191442,None,None
Silvermine Beach Resort,https://www.tripadvisor.com//Hotel_Review-g294217-d305928-Reviews-Silvermine_Beach_Resort-Hong_Kong.html,d305928,None,None
Caritas Bianchi Lodge,https://www.tripadvisor.com//Hotel_Review-g294217-d309418-Reviews-Caritas_Bianchi_Lodge-Hong_Kong.html,d309418,None,None
The Perkin Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d8316832-Reviews-The_Perkin_Hotel-Hong_Kong.html,d8316832,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ," Not central air-conditioning, is independent air-conditioning "
Hop Inn,https://www.tripadvisor.com//Hotel_Review-g294217-d1631884-Reviews-Hop_Inn-Hong_Kong.html,d1631884,   All linens sanitized in high-temperature wash    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Proof of vaccination required for guests   ,None
The Jervois,https://www.tripadvisor.com//Hotel_Review-g294217-d3800507-Reviews-The_Jervois-Hong_Kong.html,d3800507,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   ,None
Oasis Avenue,https://www.tripadvisor.com//Hotel_Review-g294217-d302254-Reviews-Oasis_Avenue-Hong_Kong.html,d302254,None,None
The Mercer Hong Kong,https://www.tripadvisor.com//Hotel_Review-g294217-d2081304-Reviews-The_Mercer_Hong_Kong-Hong_Kong.html,d2081304,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   ,None
Empire Hotel Kowloon,https://www.tripadvisor.com//Hotel_Review-g294217-d308429-Reviews-Empire_Hotel_Kowloon-Hong_Kong.html,d308429,None,None
Iclub Wan Chai Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d1631877-Reviews-Iclub_Wan_Chai_Hotel-Hong_Kong.html,d1631877,None,None
iclub Sheung Wan Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d6498153-Reviews-Iclub_Sheung_Wan_Hotel-Hong_Kong.html,d6498153,None,None
Residence G Hong Kong (by Hotel G),https://www.tripadvisor.com//Hotel_Review-g294217-d5014529-Reviews-Residence_G_Hong_Kong_by_Hotel_G-Hong_Kong.html,d5014529,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ,None
"Holiday Inn Express Hong Kong Kowloon East, an IHG Hotel",https://www.tripadvisor.com//Hotel_Review-g294217-d2698144-Reviews-Holiday_Inn_Express_Hong_Kong_Kowloon_East_an_IHG_Hotel-Hong_Kong.html,d2698144,   Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands    ," A note from IHG® Hotels &amp; Resorts:
When you’re ready to travel again, we’ll be ready to welcome you. As the world adjusts to new travel norms and expectations, we’re enhancing the experience for you – our hotel guests – by redefining cleanliness and supporting wellbeing throughout your stay. We are expanding our commitment to cleanliness by:
• Using new science-led protocols and service measures by enhancing the IHG Way of Clean
• Partnering with industry leading experts Cleveland Clinic, Ecolab and Diversey
• Launching a global IHG Clean Promise
These strengthened procedures are designed to give you greater confidence and hotel teams the protection needed. For more information, please visit  https://www.ihg.com/content/us/en/customer-care/clean-promise.  "
The Charterhouse Causeway Bay Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d305937-Reviews-The_Charterhouse_Causeway_Bay_Hotel-Hong_Kong.html,d305937,None,None
Mini Hotel Causeway Bay Hong Kong,https://www.tripadvisor.com//Hotel_Review-g294217-d3470283-Reviews-Mini_Hotel_Causeway_Bay_Hong_Kong-Hong_Kong.html,d3470283,None,None
The Empire Hotel Wan Chai,https://www.tripadvisor.com//Hotel_Review-g294217-d305944-Reviews-The_Empire_Hotel_Wan_Chai-Hong_Kong.html,d305944,None,None
Prudential Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d305892-Reviews-Prudential_Hotel-Hong_Kong.html,d305892,None,None
Stanford Hillview Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d305934-Reviews-Stanford_Hillview_Hotel-Hong_Kong.html,d305934,None,None
Harbour Plaza 8 Degrees,https://www.tripadvisor.com//Hotel_Review-g294217-d1507677-Reviews-Harbour_Plaza_8_Degrees-Hong_Kong.html,d1507677,None,None
"Holiday Inn Express Causeway Bay Hong Kong, an IHG Hotel",https://www.tripadvisor.com//Hotel_Review-g294217-d595976-Reviews-Holiday_Inn_Express_Causeway_Bay_Hong_Kong_an_IHG_Hotel-Hong_Kong.html,d595976,   Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands    ," A note from IHG® Hotels &amp; Resorts:
When you’re ready to travel again, we’ll be ready to welcome you. As the world adjusts to new travel norms and expectations, we’re enhancing the experience for you – our hotel guests – by redefining cleanliness and supporting wellbeing throughout your stay. We are expanding our commitment to cleanliness by:
• Using new science-led protocols and service measures by enhancing the IHG Way of Clean
• Partnering with industry leading experts Cleveland Clinic, Ecolab and Diversey
• Launching a global IHG Clean Promise
These strengthened procedures are designed to give you greater confidence and hotel teams the protection needed. For more information, please visit  https://www.ihg.com/content/us/en/customer-care/clean-promise.  "
Eaton HK,https://www.tripadvisor.com//Hotel_Review-g294217-d305383-Reviews-Eaton_HK-Hong_Kong.html,d305383,   Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   ," In the midst of the impact caused by the novel COVID-19, we want to ensure all that we are focused around-the-clock on the health and safety of our guests, residents and team members, without compromising our high standards of quality and service.

Eaton HK is stringent with its hygiene measures. We have successfully obtained the Anti-Epidemic Hygiene Measures Certification by Hong Kong Quality Assurance Agency, to recognize that Eaton HK has implemented over 10 hygiene measures from the scheme, as well as additional measures to provide a safe and clean environment for guests and team members. The protection of our visitors and team is our utmost priority and we take every precaution to ensure their safety.
 To keep the hotel sterilized, the current public premises have been applied with ZOONO, a long-lasting sterilization product on a regular timely basis. "
Nina Hotel Kowloon East,https://www.tripadvisor.com//Hotel_Review-g294217-d3205411-Reviews-Nina_Hotel_Kowloon_East-Hong_Kong.html,d3205411,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Floors marked for social distancing    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Contactless check-out    Individually wrapped toiletries   ,None
Harbour Plaza North Point,https://www.tripadvisor.com//Hotel_Review-g294217-d302331-Reviews-Harbour_Plaza_North_Point-Hong_Kong.html,d302331,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ,None
Gateway Hong Kong Marco Polo Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d1161242-Reviews-Gateway_Hong_Kong_Marco_Polo_Hotel-Hong_Kong.html,d1161242,None,None
Royal Pacific Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d305906-Reviews-Royal_Pacific_Hotel-Hong_Kong.html,d305906,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ," We Care About Your Well-being and Safety

Please note the escalated levels of precautionary measures to coronavirus (COVID-19) instituted at our hotel:  bit.ly/SinoHotels-Precautions  "
Harbour Plaza Metropolis,https://www.tripadvisor.com//Hotel_Review-g294217-d305854-Reviews-Harbour_Plaza_Metropolis-Hong_Kong.html,d305854,None,None
"Crowne Plaza Hong Kong Kowloon East, an IHG Hotel",https://www.tripadvisor.com//Hotel_Review-g294217-d2699176-Reviews-Crowne_Plaza_Hong_Kong_Kowloon_East_an_IHG_Hotel-Hong_Kong.html,d2699176,   Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands    ," A note from IHG® Hotels &amp; Resorts:
When you’re ready to travel again, we’ll be ready to welcome you. As the world adjusts to new travel norms and expectations, we’re enhancing the experience for you – our hotel guests – by redefining cleanliness and supporting wellbeing throughout your stay. We are expanding our commitment to cleanliness by:
• Using new science-led protocols and service measures by enhancing the IHG Way of Clean
• Partnering with industry leading experts Cleveland Clinic, Ecolab and Diversey
• Launching a global IHG Clean Promise
These strengthened procedures are designed to give you greater confidence and hotel teams the protection needed. For more information, please visit  https://www.ihg.com/content/us/en/customer-care/clean-promise.  "
The Peninsula Hong Kong,https://www.tripadvisor.com//Hotel_Review-g294217-d302040-Reviews-The_Peninsula_Hong_Kong-Hong_Kong.html,d302040,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ," Whilst this current crisis is ongoing, we would like to reassure our guests from around the world that their safety and security and that of our employees remains our highest priority.  At the same time, we promise to continue to deliver on your needs with The Peninsula’s traditional warm hospitality, comfort and personalised attention to detail.

We are strictly adhering to the advice of local government authorities, following stringent health and safety guidelines and taking the highest level of preventative measures to keep our guests and employees safe. Our spas, pools and some of our dining outlets and services are closed, for which we apologise. For your own safety and that of our employees, we are checking the temperatures of everyone entering and your travel history may affect your booking in the short-term.

To the best of our ability, our business continues as normal. We look forward to welcoming you and we remain at your service to answer any questions or concerns. "
Disney's Hollywood Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d583733-Reviews-Disney_s_Hollywood_Hotel-Hong_Kong.html,d583733,None," Hong Kong Disneyland Resort continues its measured approach with health and safety measures such as capacity control, health screenings, temperature checks, requiring face masks, social distancing, and increased cleaning and sanitization. The online reservation system remains in place, with all guests being required to reserve their visit date with valid tickets or membership cards through the Hong Kong Disneyland Park Visit Reservation website prior to arrival. "
Metropark Hotel Causeway Bay Hong Kong,https://www.tripadvisor.com//Hotel_Review-g294217-d305861-Reviews-Metropark_Hotel_Causeway_Bay_Hong_Kong-Hong_Kong.html,d305861,None,None
JW Marriott Hotel Hong Kong,https://www.tripadvisor.com//Hotel_Review-g294217-d300697-Reviews-JW_Marriott_Hotel_Hong_Kong-Hong_Kong.html,d300697,   Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas    ," We are committed to offering an environment that aligns with expert protocols for working to defeat COVID-19. Consisting of in-house and outside experts in food and water safety, hygiene and infection prevention, and hotel operations, our Marriott Cleanliness Council is redefining our cleaning and safety standards. Starting with our public spaces and high-traffic areas, Marriott is going above and beyond our normal protocols. We are cleaning surfaces with increased frequency, dedicated staff, and recommended cleaning agents. Marriott has elevated our rigorous protocols to thoroughly clean all surfaces with hospital-grade disinfectants. We will be placing disinfectant wipes in rooms. Hand sanitizing stations are being installed at hotel entrances, at our front desks, our elevator banks, and meeting spaces. Signage in public spaces will remind Marriott guests to maintain social distancing. Read more about Marriott’s Commitment to Clean by visiting  https://clean.marriott.com/.  "
ibis Hong Kong North Point,https://www.tripadvisor.com//Hotel_Review-g294217-d299535-Reviews-Ibis_Hong_Kong_North_Point-Hong_Kong.html,d299535,None,None
"Hyatt Regency Hong Kong, Tsim Sha Tsui",https://www.tripadvisor.com//Hotel_Review-g294217-d1210756-Reviews-Hyatt_Regency_Hong_Kong_Tsim_Sha_Tsui-Hong_Kong.html,d1210756,   All linens sanitized in high-temperature wash    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   ,None
"InterContinental Grand Stanford Hong Kong, an IHG Hotel",https://www.tripadvisor.com//Hotel_Review-g294217-d305810-Reviews-InterContinental_Grand_Stanford_Hong_Kong_an_IHG_Hotel-Hong_Kong.html,d305810,   Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands    ," A note from IHG® Hotels &amp; Resorts:
When you’re ready to travel again, we’ll be ready to welcome you. As the world adjusts to new travel norms and expectations, we’re enhancing the experience for you – our hotel guests – by redefining cleanliness and supporting wellbeing throughout your stay. We are expanding our commitment to cleanliness by:
• Using new science-led protocols and service measures by enhancing the IHG Way of Clean
• Partnering with industry leading experts Cleveland Clinic, Ecolab and Diversey
• Launching a global IHG Clean Promise
These strengthened procedures are designed to give you greater confidence and hotel teams the protection needed. For more information, please visit  https://www.ihg.com/content/us/en/customer-care/clean-promise.  "
"Island Shangri-La, Hong Kong",https://www.tripadvisor.com//Hotel_Review-g294217-d302130-Reviews-Island_Shangri_La_Hong_Kong-Hong_Kong.html,d302130,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Floors marked for social distancing    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Contactless check-out    Individually wrapped toiletries   ,None
"InterContinental Hong Kong, an IHG Hotel",https://www.tripadvisor.com//Hotel_Review-g294217-d305068-Reviews-InterContinental_Hong_Kong_an_IHG_Hotel-Hong_Kong.html,d305068,None,None
"Kowloon Shangri-La, Hong Kong",https://www.tripadvisor.com//Hotel_Review-g294217-d302133-Reviews-Kowloon_Shangri_La_Hong_Kong-Hong_Kong.html,d302133,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Contactless check-out    Individually wrapped toiletries   ,None
Hong Kong Disneyland Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d583732-Reviews-Hong_Kong_Disneyland_Hotel-Hong_Kong.html,d583732,   All linens sanitized in high-temperature wash    Face masks required for staff in public areas    Floors marked for social distancing    Regularly sanitized high-traffic areas     Individually wrapped toiletries   ," Hong Kong Disneyland Resort continues its measured approach with health and safety measures such as capacity control, health screenings, temperature checks, requiring face masks, social distancing, and increased cleaning and sanitization. The online reservation system remains in place, with all guests being required to reserve their visit date with valid tickets or membership cards through the Hong Kong Disneyland Park Visit Reservation website prior to arrival. "
Marco Polo Hongkong Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d300840-Reviews-Marco_Polo_Hongkong_Hotel-Hong_Kong.html,d300840,None,None
Travelodge Central Hollywood Road,https://www.tripadvisor.com//Hotel_Review-g294217-d2709671-Reviews-Travelodge_Central_Hollywood_Road-Hong_Kong.html,d2709671,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ,None
B P International,https://www.tripadvisor.com//Hotel_Review-g294217-d305353-Reviews-B_P_International-Hong_Kong.html,d305353,None,None
City Garden Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d305364-Reviews-City_Garden_Hotel-Hong_Kong.html,d305364,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Daily temperature and symptom checks for staff   ," We Care About Your Well-being and Safety

Please note the escalated levels of precautionary measures to coronavirus (COVID-19) instituted at our hotel:

More Details:  https://www.sino-hotels.com/en/general/2020-commitment-to-guests  "
Island Pacific Hotel,https://www.tripadvisor.com//Hotel_Review-g294217-d305811-Reviews-Island_Pacific_Hotel-Hong_Kong.html,d305811,   Face masks required for staff in public areas    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff   ,None
Harbour Grand Kowloon,https://www.tripadvisor.com//Hotel_Review-g294217-d302322-Reviews-Harbour_Grand_Kowloon-Hong_Kong.html,d302322,   Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Daily temperature and symptom checks for staff   ," The wellbeing and health of our guests and our employees are our highest priority. We’re taking following safety measures other than the above selected to take care of you:

- All guests are required to complete a health declaration form including recent history of travelling during the last 14 days prior to arrival at the hotel.
- All guests with suspicious symptoms will be asked to go to the nearest hospital for medical check prior to checking in the hotel, otherwise, hotel stay will be denied.
- Main entrance carpet in the hotel lobby is disinfected and cleaned every hour.
- All lift buttons are cleaned and sterilized every hour.​

For more details, please visit https://kowloon.harbourgrand.com/content/health-safety-measures-0 "
The Cityview,https://www.tripadvisor.com//Hotel_Review-g294217-d1165155-Reviews-The_Cityview-Hong_Kong.html,d1165155,   Face masks required for guests in public areas    Face masks required for staff in public areas    Hand sanitizer available to guests &amp; staff    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Individually wrapped toiletries   ," Health and safety of guests and staff are always our first priority. In view of the Coronavirus (COVID-19) outbreak, we have conducted a number of precautionary measures in the guestrooms, common areas, and restaurants to minimize the spread of infectious diseases, and strive for creating a safe and wonderful stay and dining experience for all guests. For details of our precautionary measures, please visit our website at  https://thecityview.com.hk/en/about/blog/precautionary-measures-of-covid-19.php  "
Regal Kowloon Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302175-Reviews-Regal_Kowloon_Hotel-Hong_Kong.html,d302175,   All linens sanitized in high-temperature wash    Face masks required for guests in public areas    Face masks required for staff in public areas    Floors marked for social distancing    Hand sanitizer available to guests &amp; staff    Stay-at-home policy for staff with symptoms    Regularly sanitized high-traffic areas     Staff required to regularly wash hands     Daily temperature and symptom checks for staff    Contactless check-out    Individually wrapped toiletries   ,None
